date,ticker,side,shares,price,cash_after
2023-08-02,ICICIBANK,BUY,0.5816416341033185,963.1058959960938,0.0
2023-11-02,TECHM,SELL,39.40541311214779,1054.9368896484375,41487.083495953266
2023-11-02,SBIN,SELL,73.34830744003733,551.588623046875,81864.25921581496
2023-11-02,ADANIENT,SELL,17.0911841016072,2213.3369140625,119617.15079558606
2023-11-02,ICICIBANK,SELL,43.893396276701395,905.114013671875,159266.221817126
2023-11-02,RELIANCE,SELL,34.34864010104935,1151.57666015625,198742.2038811045
2023-11-02,JSWSTEEL,SELL,53.17912548616522,725.69580078125,237256.8881995247
2023-11-02,ITC,SELL,104.3238508294576,380.1614990234375,276837.4798917183
2023-11-02,APOLLOHOSP,SELL,8.5236183956321,4855.546875,318141.53489899304
2023-11-02,DRREDDY,SELL,37.84465182932443,1054.7252197265625,357977.4121977202
2023-11-02,ASIANPAINT,SELL,12.863013571452962,2885.807861328125,395023.3575112198
2023-11-02,SUNPHARMA,SELL,38.133684899949145,1105.2994384765625,437088.19973716186
2023-11-02,BAJAJFINSV,TRIM,0.8203797131346506,1573.8397216796875,438376.7636241946
2023-11-02,INDUSINDBK,TRIM,1.6564860376048884,1445.1561279296875,440765.85681037314
2023-11-02,HDFCLIFE,BUY,2.6045614013795233,615.499755859375,439159.54368988995
2023-11-02,SBILIFE,TRIM,1.9290288725626512,1336.685302734375,441732.8912233097
2023-11-02,BAJAJ-AUTO,TRIM,0.8169836905854131,5145.12646484375,445927.96866227087
2023-11-02,BAJFINANCE,TRIM,1.8834249585747507,736.6436157226562,447312.60680775484
2023-11-02,BHARTIARTL,TRIM,2.4853701818162466,911.11328125,449572.5316816674
2023-11-02,CIPLA,TRIM,1.107413224965715,1185.6734619140625,450882.9360929375
2023-11-02,COALINDIA,BUY,164.77362808110914,256.68060302734375,408504.1534856374
2023-11-02,HCLTECH,BUY,35.9700290668873,1175.817626953125,366125.3708783373
2023-11-02,HEROMOTOCO,TRIM,0.2458970783221862,2794.7578125,366811.21921348776
2023-11-02,ONGC,TRIM,15.79883091389632,160.51837158203125,369342.14981946384
2023-11-02,TATACONSUM,BUY,47.07973554573313,898.3524169921875,326963.36721216375
2023-11-02,TITAN,TRIM,0.9563562428981334,3181.48388671875,329999.91392495355
2023-11-02,AXISBANK,BUY,43.09782771181781,981.353271484375,287621.13131765346
2023-11-02,POWERGRID,BUY,230.6323429456506,183.3836212158203,245242.34871035337
2023-11-02,ULTRACEMCO,BUY,5.061436551810445,8356.1640625,202863.56610305328
